number,title,year,director,cast,cast2,cast3,rating,summary
35,American History X,1998,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
36,Terminator 2: Judgment Day,1991,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
37,Back to the Future,1985,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
38,The Pianist,2002,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
39,Modern Times,1936,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
40,Psycho,1960,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,8.5,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
41,Gladiator,2000,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
42,City Lights,1931,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
43,The Intouchables,2011,Olivier Nakache,François Cluzet,Omar Sy,Anne Le Ny,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
44,The Departed,2006,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
